,NUTS_ID,TEMPERATURE_MAX_2018-01,TEMPERATURE_MAX_2018-02,TEMPERATURE_MAX_2018-03,TEMPERATURE_MAX_2018-04,TEMPERATURE_MAX_2018-05,TEMPERATURE_MAX_2018-06,TEMPERATURE_MAX_2018-07,TEMPERATURE_MAX_2018-08,TEMPERATURE_MAX_2018-09,TEMPERATURE_MAX_2018-10,TEMPERATURE_MAX_2018-11,TEMPERATURE_MAX_2018-12,TEMPERATURE_MIN_2018-01,TEMPERATURE_MIN_2018-02,TEMPERATURE_MIN_2018-03,TEMPERATURE_MIN_2018-04,TEMPERATURE_MIN_2018-05,TEMPERATURE_MIN_2018-06,TEMPERATURE_MIN_2018-07,TEMPERATURE_MIN_2018-08,TEMPERATURE_MIN_2018-09,TEMPERATURE_MIN_2018-10,TEMPERATURE_MIN_2018-11,TEMPERATURE_MIN_2018-12,TEMPERATURE_AVG_2018-01,TEMPERATURE_AVG_2018-02,TEMPERATURE_AVG_2018-03,TEMPERATURE_AVG_2018-04,TEMPERATURE_AVG_2018-05,TEMPERATURE_AVG_2018-06,TEMPERATURE_AVG_2018-07,TEMPERATURE_AVG_2018-08,TEMPERATURE_AVG_2018-09,TEMPERATURE_AVG_2018-10,TEMPERATURE_AVG_2018-11,TEMPERATURE_AVG_2018-12,GRID_NO_2018-01,LATITUDE_2018-01,LONGITUDE_2018-01,ALTITUDE_2018-01,PRECIPITATION_2018-01,PRECIPITATION_2018-02,PRECIPITATION_2018-03,PRECIPITATION_2018-04,PRECIPITATION_2018-05,PRECIPITATION_2018-06,PRECIPITATION_2018-07,PRECIPITATION_2018-08,PRECIPITATION_2018-09,PRECIPITATION_2018-10,PRECIPITATION_2018-11,PRECIPITATION_2018-12,SNOWDEPTH_2018-01,SNOWDEPTH_2018-02,SNOWDEPTH_2018-03,SNOWDEPTH_2018-04,SNOWDEPTH_2018-05,SNOWDEPTH_2018-06,SNOWDEPTH_2018-07,SNOWDEPTH_2018-08,SNOWDEPTH_2018-09,SNOWDEPTH_2018-10,SNOWDEPTH_2018-11,SNOWDEPTH_2018-12,index_right_2018-01,LEVL_CODE_2018-01,MOUNT_TYPE_2018-01,URBN_TYPE_2018-01,COAST_TYPE_2018-01
0,AT111,17.2,9.9,17.5,28.2,28.7,31.6,33.3,33.4,29.8,23.5,18.7,13.4,-3.8,-12.1,-17.3,1.1,8.0,7.9,8.5,10.6,0.0,1.4,-7.2,-7.2,3.103225806451613,-0.3607142857142857,3.364516129032258,15.03,17.925806451612903,20.39333333333333,21.72903225806452,22.76451612903226,17.35,12.74516129032258,6.586666666666667,2.2096774193548385,87129.0,47.48125,16.5263,243.0,0.8064516129032258,1.5678571428571428,1.6870967741935483,0.6033333333333334,1.6193548387096774,3.8366666666666656,0.9838709677419356,2.925806451612903,2.786666666666666,0.9096774193548388,1.88,1.4483870967741934,0.059090909090909,5.703703703703703,3.8157894736842106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1555555555555555,0.0,553.0,3.0,4.0,3.0,3.0
1,AT112,16.7,8.3,18.1,28.9,30.0,32.2,33.7,35.2,30.0,24.0,19.8,12.9,-2.8,-12.7,-14.9,1.1,8.6,10.3,8.2,10.5,0.9,4.2,-6.9,-4.6,3.703225806451613,-0.3642857142857142,3.806451612903226,15.78,18.93870967741936,21.313333333333333,22.548387096774192,23.77741935483871,17.923333333333336,13.906451612903227,7.006666666666666,2.664516129032258,89130.0,47.90869,16.91676,138.0,0.8870967741935484,2.132142857142857,1.8935483870967744,0.9466666666666668,2.706451612903226,3.806666666666666,1.7967741935483872,1.2580645161290325,3.7233333333333336,0.5483870967741935,1.643333333333333,1.7258064516129032,0.5933333333333334,1.0375,0.0444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,554.0,3.0,4.0,3.0,3.0
2,AT113,16.5,11.4,16.8,28.2,28.7,31.2,33.0,33.1,29.7,23.4,19.7,13.4,-5.0,-14.7,-16.9,0.5,7.3,7.1,7.9,8.6,-0.3,0.8,-6.9,-7.6,2.448387096774194,-0.4660714285714286,3.2854838709677416,14.655,17.633870967741935,19.988333333333333,21.041935483870965,21.990322580645163,17.09333333333333,12.308064516129033,6.663333333333333,1.4500000000000002,85628.0,47.16436,16.155755000000003,288.0,0.785483870967742,1.405357142857143,1.879032258064516,0.7266666666666667,4.054838709677419,4.741666666666666,2.048387096774193,2.551612903225806,2.0933333333333333,0.8080645161290323,1.4933333333333332,0.2306451612903226,0.6634615384615384,4.394444444444445,2.628947368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3352941176470588,0.2672727272727273,555.0,3.0,4.0,3.0,3.0
3,AT121,14.0,8.9,16.9,28.8,31.4,32.5,33.6,36.5,30.8,25.0,22.5,12.3,-5.8,-16.7,-20.7,-1.9,2.7,7.7,3.5,5.7,-1.6,-0.7,-10.9,-12.0,3.1806451612903226,-1.5935714285714286,2.57483870967742,14.258666666666668,17.026451612903227,19.14,20.191612903225806,21.658709677419356,16.509333333333334,11.883225806451614,5.834666666666667,1.7929032258064517,89124.2,48.013326,14.981494,383.0,2.9929032258064514,0.9564285714285716,1.369032258064516,0.6673333333333333,2.4812903225806453,4.664666666666667,1.563225806451613,1.9103225806451611,2.704,1.6761290322580646,1.4813333333333332,3.985806451612903,5.012244897959183,5.17841726618705,2.8244897959183675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9064516129032256,5.623255813953488,556.0,3.0,2.0,3.0,3.0
4,AT122,18.6,8.8,18.4,28.9,29.2,31.4,32.2,34.9,30.2,23.6,18.8,15.0,-9.7,-18.2,-20.6,-3.6,3.3,6.1,3.6,5.0,-3.2,-0.6,-12.6,-13.6,2.5521505376344087,-2.267857142857143,1.908064516129032,13.63,15.735483870967744,17.921666666666667,19.383333333333333,20.57956989247312,15.552222222222223,11.836559139784946,5.561111111111111,1.805376344086021,88293.66666666667,47.780116666666665,15.894413333333334,551.3333333333334,1.699462365591398,1.1226190476190476,2.1483870967741936,1.0744444444444443,4.138709677419355,5.057222222222222,3.0091397849462367,3.779032258064516,2.455,2.270967741935484,1.6788888888888889,3.995698924731183,5.14962962962963,9.374850299401198,8.037606837606837,0.3428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,1.4873417721518989,3.197872340425532,721.0,3.0,3.0,2.0,3.0
5,AT123,15.0,8.4,17.6,29.5,29.9,33.2,34.2,36.1,31.4,24.2,22.5,12.6,-3.7,-13.9,-15.4,-1.1,7.7,10.3,6.6,8.6,0.0,2.0,-7.8,-3.4,3.838709677419355,-0.7875,3.269354838709677,15.393333333333334,17.953225806451613,20.433333333333334,21.68548387096774,23.114516129032257,17.348333333333336,12.720967741935484,6.328333333333333,2.620967741935484,90126.5,48.20013,15.775055,254.5,1.535483870967742,1.1232142857142855,1.185483870967742,0.485,3.92258064516129,2.833333333333333,1.9306451612903224,1.6451612903225807,3.1300000000000003,1.0806451612903225,1.5883333333333334,2.7435483870967743,0.5696969696969697,1.873076923076923,0.9470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,1.1318181818181818,722.0,3.0,2.0,3.0,3.0
6,AT124,15.0,6.8,15.9,29.7,29.6,33.0,34.7,36.3,30.2,24.0,19.0,13.6,-7.9,-18.6,-18.8,-2.1,4.1,6.5,4.0,4.1,-2.7,-1.4,-11.1,-7.6,2.1298387096774194,-3.0732142857142857,1.1955645161290325,13.305416666666668,15.989112903225807,17.90583333333333,19.318548387096776,20.820564516129032,15.11625,10.551209677419354,4.335,1.375,91999.875,48.64765875,15.27372,517.5,0.9766129032258064,0.6513392857142858,0.652016129032258,0.2991666666666666,2.6330645161290325,3.9875,1.9012096774193548,1.4048387096774193,2.5629166666666667,0.7387096774193548,1.34875,2.0080645161290325,3.6931818181818175,4.262844036697247,2.9067073170731708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4872881355932204,3.641747572815534,723.0,3.0,4.0,3.0,3.0
7,AT125,14.1,5.8,15.5,28.4,29.4,33.5,33.6,35.0,29.7,23.0,18.5,11.2,-5.5,-13.6,-14.9,-0.6,7.3,9.2,6.3,7.8,0.0,1.4,-8.7,-5.3,2.960215053763441,-1.3011904761904762,2.8483870967741933,14.824444444444444,17.97741935483871,20.56111111111111,21.586021505376344,23.150537634408604,17.06888888888889,12.801075268817204,6.067777777777778,2.0817204301075267,92128.0,48.62036333333334,16.334016666666663,231.66666666666663,0.821505376344086,0.6726190476190477,1.2311827956989247,0.38,2.0817204301075267,1.5788888888888888,3.741935483870968,1.4150537634408602,3.2,0.2537634408602151,0.9177777777777776,1.781720430107527,0.3483333333333333,1.522222222222222,0.7351851851851853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1777777777777777,1.1015384615384614,724.0,3.0,4.0,3.0,3.0
8,AT126,15.7,6.8,16.2,29.2,29.8,33.8,34.0,35.8,30.0,23.7,18.7,13.2,-5.0,-13.6,-15.2,-1.1,6.9,10.5,5.9,7.9,-0.1,1.1,-8.0,-5.4,3.7814516129032256,-0.7482142857142857,3.3346774193548385,15.314166666666669,18.30967741935484,20.9025,21.999193548387098,23.460483870967742,17.425,13.275806451612905,6.400833333333334,2.5693548387096774,90878.25,48.335585,16.3824675,183.75,1.1064516129032258,0.8044642857142856,1.1120967741935484,0.425,2.1241935483870966,1.835,3.135483870967742,1.5806451612903225,3.2841666666666667,0.4790322580645161,1.2233333333333334,2.299193548387097,0.1396551724137931,1.429126213592233,0.7434782608695651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1956521739130435,0.8853658536585365,725.0,3.0,4.0,1.0,3.0
9,AT127,18.6,7.5,17.8,29.0,29.5,32.8,33.7,35.5,29.9,24.3,19.5,13.7,-3.8,-12.3,-15.0,0.2,9.3,9.4,7.0,9.5,0.4,3.0,-8.0,-5.6,4.021505376344086,-0.4023809523809523,3.6591397849462366,15.656666666666666,18.53440860215054,21.14,22.546236559139786,23.672043010752688,17.745555555555555,13.663440860215054,6.806666666666667,2.8870967741935485,89462.33333333333,48.00348,16.59369,173.33333333333334,1.1387096774193548,0.9928571428571428,1.4473118279569892,0.4955555555555556,2.895698924731183,2.1166666666666667,2.713978494623656,1.3795698924731183,2.9122222222222223,0.9150537634408604,1.4433333333333334,2.9344086021505373,0.48,2.1864864864864866,1.3235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1612903225806451,1.0305084745762711,726.0,3.0,4.0,2.0,3.0
